Geo Point;Geo Shape;CODE_EXPL;NOM_EXPL;ID_HASTUS;NOM_ARRET;ADRESSE;X_PHYS;Y_PHYS;X_PROJ;Y_PROJ;X_DECALE;Y_DECALE;CONC_LIGNE;CONC_PTY;CONC_MODE;CODE_INSEE;COMMUNE
43.64411977665357, 1.4615332698150338;"{""coordinates"": [1.461533269815034, 43.64411977665357], ""type"": ""Point""}";6192449487677451;tisseo;26511;Ayral;RUE EDMOND ROSTAND;1575880.0;2272693.0;1575880.7;2272689.2;1575880.42568848;2272694.19246965;114;114/7;bus;31555;TOULOUSE
43.64404992589524, 1.4616961842555496;"{""coordinates"": [1.46169618425555, 43.64404992589524], ""type"": ""Point""}";6192449487677451;tisseo;26510;Ayral;RUE EDMOND ROSTAND;1575893.0;2272685.0;1575892.9;2272689.7;1575893.09216561;2272684.70369413;114;114/7;bus;31555;TOULOUSE
43.66438689706876, 1.4719715768564732;"{""coordinates"": [1.471971576856473, 43.66438689706876], ""type"": ""Point""}";6192449487677451;tisseo;10780;Azalées;ROUTE DE BESSIÈRES;1576763.0;2274929.0;1576760.9;2274932.1;1576764.8898653;2274929.08658132;33 SC10 SC15;33/11 33/14 SC10/4 SC15/6;bus scolaire;31561;L'UNION
43.66336232539587, 1.362836409903527;"{""coordinates"": [1.362836409903527, 43.66336232539587], ""type"": ""Point""}";6192449487677451;tisseo;27203;Aéroconstellation;BOULEVARD DE L'EUROPE;1567960.0;2274981.0;1567960.2;2274981.4;1567964.83428145;2274983.27707998;70;70/26 70/27;bus;31069;BLAGNAC
43.59455514891264, 1.497253281115046;"{""coordinates"": [1.497253281115046, 43.59455514891264], ""type"": ""Point""}";6192449487677451;tisseo;18093;Aérodrome;ROUTE DE CASTRES;1578663.0;2267135.0;1578664.4;2267130.3;1578663.32483649;2267135.18303424;L01 SC06;L01/17 SC06/10 SC06/9;lineo scolaire;31044;BALMA
43.631292561462274, 1.3747276404638145;"{""coordinates"": [1.374727640463814, 43.631292561462274], ""type"": ""Point""}";6192449487677451;tisseo;27651;Aéroport;INCONNU;1568850.0;2271400.0;1568854.6;2271397.9;1568850.23300767;2271400.3349973;31;31/1 31/2;bus;31069;BLAGNAC
43.63091094530444, 1.374477533314862;"{""coordinates"": [1.374477533314862, 43.63091094530444], ""type"": ""Point""}";6192449487677451;tisseo;36041;Aéroport;INCONNU;1568829.0;2271358.0;1568834.4;2271356.9;1568829.56887024;2271358.18623157;24;24/54 24/55;bus;31069;BLAGNAC
43.542147225745346, 1.459286603450775;"{""coordinates"": [1.459286603450775, 43.542147225745346], ""type"": ""Point""}";6192449487677451;tisseo;12410;Aéropostale;AVENUE DE L'AÉROPOSTALE;1575491.0;2261369.0;1575492.6;2261371.8;1575490.07410399;2261367.48492765;54;54/17 54/81;bus;31446;RAMONVILLE-SAINT-AGNE
43.57237489589785, 1.4073125190569882;"{""coordinates"": [1.407312519056988, 43.57237489589785], ""type"": ""Point""}";6192449487677451;tisseo;1500;Babinet;AVENUE DE REYNERIE;1571355.0;2264805.0;1571358.2;2264808.2;1571354.33565627;2264805.02717042;L14;L14/7;lineo;31555;TOULOUSE
43.607758768634746, 1.4513492150772225;"{""coordinates"": [1.451349215077222, 43.607758768634746], ""type"": ""Point""}";6192449487677451;tisseo;411;Bachelier;ALLÉES JEAN JAURÈS;1574984.0;2268669.0;1574991.3;2268662.4;1574987.92419899;2268666.08835567;15 23 L01 L14;15/5 23/50 L01/17 L14/7;bus lineo;31555;TOULOUSE
