surface_m2,nb_pieces,is_maison,revenu_median_mensuel,taux_pauvrete_pct,population_2019,part_jeunes_pct,part_seniors_pct,mois_mutation,distance_transport_m,est_metro_proche,q_Bagatelle / Reynerie,q_Borderouge / Croix-Daurade,q_Capitole / Carmes,q_Côte Pavée / Jolimont,q_Rangueil / Saouzelong,q_Saint-Cyprien / Arènes
18.0,1,0,2324.5,16.1,83796,41.1,13.4,8,,,False,False,True,False,False,False
46.0,2,0,2324.5,16.1,83796,41.1,13.4,11,81.2,0.0,False,False,True,False,False,False
31.0,1,0,2324.5,16.1,83796,41.1,13.4,1,178.8,0.0,False,False,True,False,False,False
45.0,2,0,2324.5,16.1,83796,41.1,13.4,1,,,False,False,True,False,False,False
50.0,2,0,1529.5,36.2,105462,32.7,11.3,9,166.6,0.0,False,False,False,False,True,False
42.0,2,0,2155.0,15.3,70863,28.8,15.8,9,,,False,False,False,False,False,True
38.0,1,0,2324.5,16.1,83796,41.1,13.4,3,,,False,False,True,False,False,False
36.0,1,0,1529.5,36.2,105462,32.7,11.3,5,169.1,0.0,False,False,False,False,True,False
51.0,2,1,1529.5,36.2,105462,32.7,11.3,11,127.2,0.0,False,False,False,False,True,False
77.0,4,0,1638.4,25.8,70238,27.7,10.2,5,104.1,0.0,False,False,False,True,False,False
80.0,4,0,2155.0,15.3,70863,28.8,15.8,11,,,False,False,False,False,False,True
65.0,3,1,1638.4,25.8,70238,27.7,10.2,11,,,False,False,False,True,False,False
49.0,2,0,1638.4,25.8,70238,27.7,10.2,4,165.6,0.0,False,False,False,True,False,False
35.0,2,0,1935.5,19.1,96734,32.2,13.0,3,30.9,0.0,False,True,False,False,False,False
21.0,2,0,2155.0,15.3,70863,28.8,15.8,1,94.3,0.0,False,False,False,False,False,True
44.0,2,0,1956.6,18.3,66372,26.5,15.3,11,155.5,0.0,True,False,False,False,False,False
83.0,4,1,1956.6,18.3,66372,26.5,15.3,10,,,True,False,False,False,False,False
67.0,3,0,1529.5,36.2,105462,32.7,11.3,11,,,False,False,False,False,True,False
30.0,1,0,2324.5,16.1,83796,41.1,13.4,1,,,False,False,True,False,False,False
65.0,4,0,2324.5,16.1,83796,41.1,13.4,5,35.7,0.0,False,False,True,False,False,False
125.0,5,1,1638.4,25.8,70238,27.7,10.2,7,167.5,0.0,False,False,False,True,False,False
124.0,4,0,2324.5,16.1,83796,41.1,13.4,1,,,False,False,True,False,False,False
160.0,7,1,1638.4,25.8,70238,27.7,10.2,2,,,False,False,False,True,False,False
93.0,4,0,2324.5,16.1,83796,41.1,13.4,1,93.2,0.0,False,False,True,False,False,False
69.0,4,0,1638.4,25.8,70238,27.7,10.2,6,,,False,False,False,True,False,False
86.0,4,0,1935.5,19.1,96734,32.2,13.0,1,,,False,True,False,False,False,False
73.0,3,1,1956.6,18.3,66372,26.5,15.3,7,,,True,False,False,False,False,False
67.0,4,0,1529.5,36.2,105462,32.7,11.3,12,107.1,0.0,False,False,False,False,True,False
64.0,4,0,1529.5,36.2,105462,32.7,11.3,8,18.8,0.0,False,False,False,False,True,False
59.0,3,0,2155.0,15.3,70863,28.8,15.8,6,,,False,False,False,False,False,True
59.0,3,0,1638.4,25.8,70238,27.7,10.2,3,,,False,False,False,True,False,False
90.0,4,1,1935.5,19.1,96734,32.2,13.0,1,,,False,True,False,False,False,False
66.0,3,0,1529.5,36.2,105462,32.7,11.3,10,114.1,0.0,False,False,False,False,True,False
107.0,5,1,1529.5,36.2,105462,32.7,11.3,7,,,False,False,False,False,True,False
41.0,2,0,1638.4,25.8,70238,27.7,10.2,11,,,False,False,False,True,False,False
46.0,2,0,1956.6,18.3,66372,26.5,15.3,4,,,True,False,False,False,False,False
25.0,1,0,1638.4,25.8,70238,27.7,10.2,5,8.4,0.0,False,False,False,True,False,False
25.0,1,0,2324.5,16.1,83796,41.1,13.4,5,,,False,False,True,False,False,False
147.0,4,1,1638.4,25.8,70238,27.7,10.2,1,269.2,1.0,False,False,False,True,False,False
27.0,1,0,1935.5,19.1,96734,32.2,13.0,8,18.7,0.0,False,True,False,False,False,False
63.0,3,0,1935.5,19.1,96734,32.2,13.0,4,117.8,0.0,False,True,False,False,False,False
99.0,4,0,1529.5,36.2,105462,32.7,11.3,9,170.8,0.0,False,False,False,False,True,False
34.0,2,0,2155.0,15.3,70863,28.8,15.8,7,,,False,False,False,False,False,True
82.0,4,1,1956.6,18.3,66372,26.5,15.3,7,,,True,False,False,False,False,False
96.0,4,0,1638.4,25.8,70238,27.7,10.2,12,,,False,False,False,True,False,False
53.0,3,0,2155.0,15.3,70863,28.8,15.8,6,,,False,False,False,False,False,True
19.0,1,0,1638.4,25.8,70238,27.7,10.2,12,,,False,False,False,True,False,False
45.0,2,0,2324.5,16.1,83796,41.1,13.4,1,,,False,False,True,False,False,False
31.0,1,0,1638.4,25.8,70238,27.7,10.2,6,,,False,False,False,True,False,False
68.0,3,0,1529.5,36.2,105462,32.7,11.3,9,59.4,0.0,False,False,False,False,True,False
72.0,4,0,2324.5,16.1,83796,41.1,13.4,2,141.8,0.0,False,False,True,False,False,False
30.0,2,1,1529.5,36.2,105462,32.7,11.3,10,31.6,0.0,False,False,False,False,True,False
83.0,5,1,1956.6,18.3,66372,26.5,15.3,5,,,True,False,False,False,False,False
63.0,4,0,1956.6,18.3,66372,26.5,15.3,3,,,True,False,False,False,False,False
28.0,2,0,1529.5,36.2,105462,32.7,11.3,1,,,False,False,False,False,True,False
150.0,6,1,1529.5,36.2,105462,32.7,11.3,8,,,False,False,False,False,True,False
46.0,3,0,1638.4,25.8,70238,27.7,10.2,5,,,False,False,False,True,False,False
21.0,1,0,1956.6,18.3,66372,26.5,15.3,12,,,True,False,False,False,False,False
54.0,3,0,2155.0,15.3,70863,28.8,15.8,12,,,False,False,False,False,False,True
67.0,4,0,1529.5,36.2,105462,32.7,11.3,8,,,False,False,False,False,True,False
49.0,2,0,1638.4,25.8,70238,27.7,10.2,1,62.7,0.0,False,False,False,True,False,False
101.0,5,1,1935.5,19.1,96734,32.2,13.0,9,168.2,0.0,False,True,False,False,False,False
